#SampleID	Accession_number	Species	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
11212.AC679	ERS1931246	Alouatta_caraya	SouthAmerica	na	na	na	Argentina	no	Alouatta_caraya	Alouatta_caraya	NWM	NWM	NHP	NWM	Forest
11212.AC680	ERS1931247	Alouatta_caraya	SouthAmerica	na	na	na	Argentina	no	Alouatta_caraya	Alouatta_caraya	NWM	NWM	NHP	NWM	Forest
11212.AC685	ERS1931250	Alouatta_caraya	SouthAmerica	na	na	na	Argentina	no	Alouatta_caraya	Alouatta_caraya	NWM	NWM	NHP	NWM	Forest
11212.AC691	ERS1931251	Alouatta_caraya	SouthAmerica	na	na	na	Argentina	no	Alouatta_caraya	Alouatta_caraya	NWM	NWM	NHP	NWM	Forest
11212.AC693	ERS1931252	Alouatta_caraya	SouthAmerica	na	na	na	Argentina	no	Alouatta_caraya	Alouatta_caraya	NWM	NWM	NHP	NWM	Forest
11212.Ahyb1000	ERS1931271	Ateles_hybridus	SouthAmerica	na	na	na	Colombia	no	Ateles_hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	Forest
11212.Ahyb257	ERS1931272	Ateles_hybridus	SouthAmerica	na	na	na	Colombia	no	Ateles_hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	Forest
11212.Ahyb411	ERS1931273	Ateles_hybridus	SouthAmerica	na	na	na	Colombia	no	Ateles_hybridus	Ateles_hybridus	NWM	NWM	NHP	NWM	Forest
11212.APAL36	ERS1931254	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.APAL37	ERS1931255	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.APAL38	ERS1931256	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.APAL39	ERS1931257	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.Apalw10	ERS1931274	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.Apalw14	ERS1931276	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.Apalw19	ERS1931277	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.Apalw20	ERS1931278	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.Apalw23	ERS1931279	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.Apalw8	ERS1931280	Alouatta_palliata	CentralAmerica	na	na	na	Nicaragua	no	Alouatta_palliata	Alouatta_palliata	NWM	NWM	NHP	NWM	Forest
11212.APF104	ERS1931259	Alouatta_pigra	CentralAmerica	na	na	na	Mexico	no	Alouatta_pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	Forest
11212.APF113	ERS1931263	Alouatta_pigra	CentralAmerica	na	na	na	Mexico	no	Alouatta_pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	Forest
11212.APF116	ERS1931265	Alouatta_pigra	CentralAmerica	na	na	na	Mexico	no	Alouatta_pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	Forest
11212.APX.37	ERS1931267	Alouatta_pigra	CentralAmerica	na	na	na	Mexico	no	Alouatta_pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	Forest
11212.APX19	ERS1931268	Alouatta_pigra	CentralAmerica	na	na	na	Mexico	no	Alouatta_pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	Forest
11212.APX38	ERS1931270	Alouatta_pigra	CentralAmerica	na	na	na	Mexico	no	Alouatta_pigra	Alouatta_pigra	NWM	NWM	NHP	NWM	Forest
11212.Asen1013	ERS1931282	Alouatta_seniculus	SouthAmerica	na	na	na	Colombia	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.Asen1019	ERS1931283	Alouatta_seniculus	SouthAmerica	na	na	na	Colombia	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.Asen1111	ERS1931284	Alouatta_seniculus	SouthAmerica	na	na	na	Colombia	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.Asen1118	ERS1931285	Alouatta_seniculus	SouthAmerica	na	na	na	Colombia	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.Asen685	ERS1931286	Alouatta_seniculus	SouthAmerica	na	na	na	Colombia	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.AsenLink1	ERS1931287	Alouatta_seniculus	SouthAmerica	na	na	na	Ecuador	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.AsenLink2	ERS1931288	Alouatta_seniculus	SouthAmerica	na	na	na	Ecuador	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.AsenLink3	ERS1931289	Alouatta_seniculus	SouthAmerica	na	na	na	Ecuador	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.AsenLink4	ERS1931290	Alouatta_seniculus	SouthAmerica	na	na	na	Ecuador	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.AsenLink5	ERS1931291	Alouatta_seniculus	SouthAmerica	na	na	na	Ecuador	no	Alouatta_seniculus	Alouatta_seniculus	NWM	NWM	NHP	NWM	Forest
11212.AtbelzLink1	ERS1931292	Ateles_belzebuth	SouthAmerica	na	na	na	Ecuador	no	Ateles_belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	Forest
11212.AtbelzLink2	ERS1931293	Ateles_belzebuth	SouthAmerica	na	na	na	Ecuador	no	Ateles_belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	Forest
11212.AtbelzLink4	ERS1931295	Ateles_belzebuth	SouthAmerica	na	na	na	Ecuador	no	Ateles_belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	Forest
11212.AtbelzLink5	ERS1931296	Ateles_belzebuth	SouthAmerica	na	na	na	Ecuador	no	Ateles_belzebuth	Ateles_belzebuth	NWM	NWM	NHP	NWM	Forest
11212.BWC2023	ERS1931297	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2026	ERS1931298	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2061	ERS1931299	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2063	ERS1931300	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2115	ERS1931301	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2339	ERS1931302	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2341	ERS1931303	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.BWC2342	ERS1931304	Colobus_guereza	Africa	na	na	na	Uganda	no	Colobus_guereza	Colobus_guereza	OWM	OWM	NHP	OWM	Savannah
11212.ERUB.108M	ERS1931306	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.ERUB.12M	ERS1931307	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.ERUB.14M	ERS1931309	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.ERUB.20M	ERS1931310	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.ERUB.21M	ERS1931311	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.ERUB.79M	ERS1931315	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.ERUB.98M	ERS1931316	Eulemur_rubriventer	Africa	na	na	na	Madagascar	no	Eulemur_rubriventer	Eulemur_rubriventer	Lemur	Lemur	NHP	Lemur	Forest
11212.Gor1	ERS1931317	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor11	ERS1931318	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor12	ERS1931319	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor2	ERS1931320	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor3	ERS1931321	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor4	ERS1931322	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor5	ERS1931323	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor6	ERS1931324	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor8	ERS1931326	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.Gor9	ERS1931327	Gorilla_gorilla	Africa	na	na	na	CAR	keep	Gorilla_gorilla	Gorilla_gorilla	Ape	Ape	NHP	Ape	Forest
11212.JB1	ERS1931328	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM	Savannah
11212.JB12	ERS1931329	Papio_anubis	Africa	na	na	na	Ethiopia	keep	Papio_anubis	Papio_anubis	OWM	OWM	NHP	OWM	Savannah
11212.JB13	ERS1931330	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM	Savannah
11212.JB15	ERS1931331	Papio_hamadryas	Africa	na	na	na	Ethiopia	keep	Papio_hamadryas	Papio_hamadryas	OWM	OWM	NHP	OWM	Savannah
