OrigID	#SampleID	Accession_number	Species	country	country_of_birth	geographic_region	life_style	life_style_2	life_style_3	population	HCA	species_population	lifestyle_species	phyl_group	phyl_group2	phyl_group3	phyl_group_lifestyle	ecol_group
Lc259	Lc259_ACTTGA_L003_R1_001_kneaddata	ERX2201532	Lemur_catta	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Lemur catta	Lemur_catta	Lemur	Lemur	NHP	Lemur	na
Lc301	Lc301_GATCAG_L003_R1_001_kneaddata	ERX2201533	Lemur_catta	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Lemur catta	Lemur_catta	Lemur	Lemur	NHP	Lemur	na
Lc307	Lc307_TAGCTT_L003_R1_001_kneaddata	ERX2201534	Lemur_catta	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Lemur catta	Lemur_catta	Lemur	Lemur	NHP	Lemur	na
Lc308	Lc308_GGCTAC_L003_R1_001_kneaddata	ERX2201535	Lemur_catta	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Lemur catta	Lemur_catta	Lemur	Lemur	NHP	Lemur	na
Lc310	Lc310_CTTGTA_L003_R1_001_kneaddata	ERX2201536	Lemur_catta	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Lemur catta	Lemur_catta	Lemur	Lemur	NHP	Lemur	na
Ptr1	Ptr1_GATCAG_L004_R1_001_kneaddata	ERX2201543	Pan_troglodytes	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Pan troglodytes	Pan_troglodytes	Ape	Ape	NHP	Ape	Forest
Ptr10	Ptr10_TAGCTT_L004_R1_001_kneaddata	ERX2201544	Pan_troglodytes	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Pan troglodytes	Pan_troglodytes	Ape	Ape	NHP	Ape	Forest
Ptr11	Ptr11_GGCTAC_L004_R1_001_kneaddata	ERX2201545	Pan_troglodytes	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Pan troglodytes	Pan_troglodytes	Ape	Ape	NHP	Ape	Forest
Ptr13	Ptr13_CTTGTA_L004_R1_001_kneaddata	ERX2201546	Pan_troglodytes	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Pan troglodytes	Pan_troglodytes	Ape	Ape	NHP	Ape	Forest
PTr14	PTr14_AGTCAA_L004_R1_001_kneaddata	ERX2201537	Pan_troglodytes	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Pan troglodytes	Pan_troglodytes	Ape	Ape	NHP	Ape	Forest
PVAbb	PVAbb_GTGGCC_L004_R1_001_kneaddata	ERX2201538	Propithecus_verreauxi	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Propithecus verreauxi	Propithecus_verreauxi	Lemur	Lemur	NHP	Lemur	na
PVLou	PVLou_GTTTCG_L004_R1_001_kneaddata	ERX2201539	Propithecus_verreauxi	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Propithecus verreauxi	Propithecus_verreauxi	Lemur	Lemur	NHP	Lemur	na
PVPam	PVPam_CGTACG_L004_R1_001_kneaddata	ERX2201540	Propithecus_verreauxi	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Propithecus verreauxi	Propithecus_verreauxi	Lemur	Lemur	NHP	Lemur	na
PVPet	PVPet_GAGTGG_L004_R1_001_kneaddata	ERX2201541	Propithecus_verreauxi	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Propithecus verreauxi	Propithecus_verreauxi	Lemur	Lemur	NHP	Lemur	na
PVQui	PVQui_ACTGAT_L004_R1_001_kneaddata	ERX2201542	Propithecus_verreauxi	Madagascar	Madagascar	Africa	na	na	na	Madagascar	no	Propithecus verreauxi	Propithecus_verreauxi	Lemur	Lemur	NHP	Lemur	na
RC2036	RC2036_ACTGAT_L003_R1_001_kneaddata	ERX2201547	Piliocolobus_badius	Uganda	Uganda	Africa	na	na	na	Uganda	no	Piliocolobus badius	Piliocolobus_badius	OWM	OWM	NHP	OWM	na
RC2068	RC2068_ATCACG_L004_R1_001_kneaddata	ERX2201548	Cercopithecus_ascanius	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Cercopithecus ascanius	Cercopithecus_ascanius	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
RC2071	RC2071_ATTCCT_L003_R1_001_kneaddata	ERX2201549	Piliocolobus_badius	Uganda	Uganda	Africa	na	na	na	Uganda	no	Piliocolobus badius	Piliocolobus_badius	OWM	OWM	NHP	OWM	na
RC2096	RC2096_CGATGT_L004_R1_001_kneaddata	ERX2201550	Piliocolobus_badius	Uganda	Uganda	Africa	na	na	na	Uganda	no	Piliocolobus badius	Piliocolobus_badius	OWM	OWM	NHP	OWM	na
RC2098	RC2098_TTAGGC_L004_R1_001_kneaddata	ERX2201551	Piliocolobus_badius	Uganda	Uganda	Africa	na	na	na	Uganda	no	Piliocolobus badius	Piliocolobus_badius	OWM	OWM	NHP	OWM	na
RT2013	RT2013_CTTGTA_L002_R1_001_kneaddata	ERX2201552	Cercopithecus_ascanius	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Cercopithecus ascanius	Cercopithecus_ascanius	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
RT2017	RT2017_AGTCAA_L002_R1_001_kneaddata	ERX2201553	Cercopithecus_ascanius	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Cercopithecus ascanius	Cercopithecus_ascanius	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
RT2019	RT2019_AGTTCC_L002_R1_001_kneaddata	ERX2201554	Cercopithecus_ascanius	Uganda	Uganda	Africa	na	na	na	Uganda	keep	Cercopithecus ascanius	Cercopithecus_ascanius	OWM	OWM	NHP	OWM _ Cercopithecines	Savannah
